1	/	##SELECT	move
2	14	SELECT#IDN	reduction
3	/	unionType#IDN	move
4	48	IDN#.	reduction
5	/	uid#.	move
6	/	.#IDN	move
7	48	IDN#,	reduction
8	52	uid#,	reduction
9	50	dottedIdOrStar#,	reduction
10	49	dottedId#,	reduction
11	35	fullColumnName#,	reduction
12	31	elementNameAlias#,	reduction
13	28	selectElement#,	reduction
14	/	selectElementHead#,	move
15	/	,#SUM	move
16	105	SUM#(	reduction
17	/	function#(	move
18	14	(#IDN	reduction
19	/	unionType#IDN	move
20	48	IDN#.	reduction
21	/	uid#.	move
22	/	.#IDN	move
23	48	IDN#)	reduction
24	52	uid#)	reduction
25	50	dottedIdOrStar#)	reduction
26	49	dottedId#)	reduction
27	/	fullColumnName#)	move
28	101	)#FROM	reduction
29	100	aggregateWindowedFunction#FROM	reduction
30	35	functionCall#FROM	reduction
31	32	elementNameAlias#FROM	reduction
32	30	selectElement#FROM	reduction
33	29	selectElementListRec#FROM	reduction
34	26	selectElementListRec#FROM	reduction
35	/	selectElements#FROM	move
36	/	FROM#IDN	move
37	48	IDN#JOIN	reduction
38	44	uid#JOIN	reduction
39	35	tableName#JOIN	reduction
40	42	elementNameAlias#JOIN	reduction
41	/	tableSourceItem#JOIN	move
42	/	JOIN#IDN	move
43	48	IDN#ON	reduction
44	44	uid#ON	reduction
45	35	tableName#ON	reduction
46	42	elementNameAlias#ON	reduction
47	/	tableSourceItem#ON	move
48	/	ON#IDN	move
49	48	IDN#.	reduction
50	/	uid#.	move
51	/	.#IDN	move
52	48	IDN#=	reduction
53	52	uid#=	reduction
54	50	dottedIdOrStar#=	reduction
55	49	dottedId#=	reduction
56	76	fullColumnName#=	reduction
57	/	expressionAtom#=	move
58	85	=#IDN	reduction
59	/	comparisonOperator#IDN	move
60	48	IDN#.	reduction
61	/	uid#.	move
62	/	.#IDN	move
63	48	IDN#WHERE	reduction
64	52	uid#WHERE	reduction
65	50	dottedIdOrStar#WHERE	reduction
66	49	dottedId#WHERE	reduction
67	76	fullColumnName#WHERE	reduction
68	74	expressionAtom#WHERE	reduction
69	72	predicateRight#WHERE	reduction
70	73	predicate#WHERE	reduction
71	72	predicateRight#WHERE	reduction
72	61	predicate#WHERE	reduction
73	58	expressionRight#WHERE	reduction
74	108	expression#WHERE	reduction
75	106	joinRightPart#WHERE	reduction
76	41	joinPart#WHERE	reduction
77	40	joinParts#WHERE	reduction
78	39	joinParts#WHERE	reduction
79	38	tableSource#WHERE	reduction
80	36	tableSourceListRec#WHERE	reduction
81	/	tableSources#WHERE	move
82	/	WHERE#IDN	move
83	48	IDN#.	reduction
84	/	uid#.	move
85	/	.#IDN	move
86	48	IDN#>	reduction
87	52	uid#>	reduction
88	50	dottedIdOrStar#>	reduction
89	49	dottedId#>	reduction
90	76	fullColumnName#>	reduction
91	/	expressionAtom#>	move
92	86	>#INT	reduction
93	/	comparisonOperator#INT	move
94	84	INT#AND	reduction
95	80	decimalLiteral#AND	reduction
96	75	constant#AND	reduction
97	74	expressionAtom#AND	reduction
98	72	predicateRight#AND	reduction
99	73	predicate#AND	reduction
100	72	predicateRight#AND	reduction
101	/	predicate#AND	move
102	92	AND#IDN	reduction
103	/	logicalOperator#IDN	move
104	48	IDN#.	reduction
105	/	uid#.	move
106	/	.#IDN	move
107	48	IDN#<	reduction
108	52	uid#<	reduction
109	50	dottedIdOrStar#<	reduction
110	49	dottedId#<	reduction
111	76	fullColumnName#<	reduction
112	/	expressionAtom#<	move
113	87	<#FLOAT	reduction
114	/	comparisonOperator#FLOAT	move
115	83	FLOAT#OR	reduction
116	80	decimalLiteral#OR	reduction
117	75	constant#OR	reduction
118	74	expressionAtom#OR	reduction
119	72	predicateRight#OR	reduction
120	73	predicate#OR	reduction
121	72	predicateRight#OR	reduction
122	/	predicate#OR	move
123	95	OR#FLOAT	reduction
124	/	logicalOperator#FLOAT	move
125	83	FLOAT#IS	reduction
126	80	decimalLiteral#IS	reduction
127	75	constant#IS	reduction
128	74	expressionAtom#IS	reduction
129	72	predicateRight#IS	reduction
130	/	predicate#IS	move
131	/	IS#NOT	move
132	64	NOT#NULL	reduction
133	/	oppositeOrNot#NULL	move
134	68	NULL#GROUP BY	reduction
135	66	nullValue#GROUP BY	reduction
136	60	nullOrTrueValue#GROUP BY	reduction
137	58	expressionRight#GROUP BY	reduction
138	59	expression#GROUP BY	reduction
139	58	expressionRight#GROUP BY	reduction
140	59	expression#GROUP BY	reduction
141	58	expressionRight#GROUP BY	reduction
142	132	expression#GROUP BY	reduction
143	18	whereExpression#GROUP BY	reduction
144	/	fromClause#GROUP BY	move
145	/	GROUP BY#IDN	move
146	48	IDN#.	reduction
147	/	uid#.	move
148	/	.#IDN	move
149	48	IDN#HAVING	reduction
150	52	uid#HAVING	reduction
151	50	dottedIdOrStar#HAVING	reduction
152	49	dottedId#HAVING	reduction
153	76	fullColumnName#HAVING	reduction
154	74	expressionAtom#HAVING	reduction
155	72	predicateRight#HAVING	reduction
156	61	predicate#HAVING	reduction
157	58	expressionRight#HAVING	reduction
158	56	expression#HAVING	reduction
159	54	expressionRec#HAVING	reduction
160	20	expressions#HAVING	reduction
161	/	groupByClause#HAVING	move
162	/	HAVING#IDN	move
163	48	IDN#.	reduction
164	/	uid#.	move
165	/	.#IDN	move
166	48	IDN#=	reduction
167	52	uid#=	reduction
168	50	dottedIdOrStar#=	reduction
169	49	dottedId#=	reduction
170	76	fullColumnName#=	reduction
171	/	expressionAtom#=	move
172	85	=#STRING	reduction
173	/	comparisonOperator#STRING	move
174	97	STRING##	reduction
175	79	stringLiteral##	reduction
176	75	constant##	reduction
177	74	expressionAtom##	reduction
178	72	predicateRight##	reduction
179	73	predicate##	reduction
180	72	predicateRight##	reduction
181	61	predicate##	reduction
182	58	expressionRight##	reduction
183	22	expression##	reduction
184	25	havingClause##	reduction
185	17	orderByClause##	reduction
186	15	selectClause##	reduction
187	8	querySpecification##	reduction
188	6	unionStatements##	reduction
189	2	selectStatement##	reduction
190	1	dmlStatement##	reduction
191	/	root##	accept
