1	/	##DELETE	move
2	/	DELETE#FROM	move
3	/	FROM#IDN	move
4	48	IDN#WHERE	reduction
5	44	uid#WHERE	reduction
6	/	tableName#WHERE	move
7	/	WHERE#IDN	move
8	48	IDN#.	reduction
9	/	uid#.	move
10	/	.#IDN	move
11	48	IDN#=	reduction
12	52	uid#=	reduction
13	50	dottedIdOrStar#=	reduction
14	49	dottedId#=	reduction
15	76	fullColumnName#=	reduction
16	/	expressionAtom#=	move
17	85	=#STRING	reduction
18	/	comparisonOperator#STRING	move
19	97	STRING#AND	reduction
20	79	stringLiteral#AND	reduction
21	75	constant#AND	reduction
22	74	expressionAtom#AND	reduction
23	72	predicateRight#AND	reduction
24	73	predicate#AND	reduction
25	72	predicateRight#AND	reduction
26	/	predicate#AND	move
27	92	AND#IDN	reduction
28	/	logicalOperator#IDN	move
29	48	IDN#=	reduction
30	51	uid#=	reduction
31	49	dottedId#=	reduction
32	76	fullColumnName#=	reduction
33	/	expressionAtom#=	move
34	85	=#INT	reduction
35	/	comparisonOperator#INT	move
36	84	INT#&&	reduction
37	80	decimalLiteral#&&	reduction
38	75	constant#&&	reduction
39	74	expressionAtom#&&	reduction
40	72	predicateRight#&&	reduction
41	73	predicate#&&	reduction
42	72	predicateRight#&&	reduction
43	/	predicate#&&	move
44	93	&&#IDN	reduction
45	/	logicalOperator#IDN	move
46	48	IDN#=	reduction
47	51	uid#=	reduction
48	49	dottedId#=	reduction
49	76	fullColumnName#=	reduction
50	/	expressionAtom#=	move
51	85	=#STRING	reduction
52	/	comparisonOperator#STRING	move
53	97	STRING##	reduction
54	79	stringLiteral##	reduction
55	75	constant##	reduction
56	74	expressionAtom##	reduction
57	72	predicateRight##	reduction
58	73	predicate##	reduction
59	72	predicateRight##	reduction
60	61	predicate##	reduction
61	58	expressionRight##	reduction
62	59	expression##	reduction
63	58	expressionRight##	reduction
64	59	expression##	reduction
65	58	expressionRight##	reduction
66	132	expression##	reduction
67	136	whereExpression##	reduction
68	135	deleteStatementRight##	reduction
69	5	deleteStatement##	reduction
70	1	dmlStatement##	reduction
71	/	root##	accept
