1	/	##SELECT	move
2	14	SELECT#MIN	reduction
3	/	unionType#MIN	move
4	104	MIN#(	reduction
5	/	function#(	move
6	14	(#IDN	reduction
7	/	unionType#IDN	move
8	48	IDN#.	reduction
9	/	uid#.	move
10	/	.#IDN	move
11	48	IDN#)	reduction
12	52	uid#)	reduction
13	50	dottedIdOrStar#)	reduction
14	49	dottedId#)	reduction
15	/	fullColumnName#)	move
16	101	)#,	reduction
17	100	aggregateWindowedFunction#,	reduction
18	35	functionCall#,	reduction
19	32	elementNameAlias#,	reduction
20	28	selectElement#,	reduction
21	/	selectElementHead#,	move
22	/	,#MAX	move
23	103	MAX#(	reduction
24	/	function#(	move
25	14	(#IDN	reduction
26	/	unionType#IDN	move
27	48	IDN#.	reduction
28	/	uid#.	move
29	/	.#IDN	move
30	48	IDN#)	reduction
31	52	uid#)	reduction
32	50	dottedIdOrStar#)	reduction
33	49	dottedId#)	reduction
34	/	fullColumnName#)	move
35	101	)#,	reduction
36	100	aggregateWindowedFunction#,	reduction
37	35	functionCall#,	reduction
38	32	elementNameAlias#,	reduction
39	/	selectElement#,	move
40	/	,#AVG	move
41	102	AVG#(	reduction
42	/	function#(	move
43	14	(#IDN	reduction
44	/	unionType#IDN	move
45	48	IDN#.	reduction
46	/	uid#.	move
47	/	.#IDN	move
48	48	IDN#)	reduction
49	52	uid#)	reduction
50	50	dottedIdOrStar#)	reduction
51	49	dottedId#)	reduction
52	/	fullColumnName#)	move
53	101	)#,	reduction
54	100	aggregateWindowedFunction#,	reduction
55	35	functionCall#,	reduction
56	32	elementNameAlias#,	reduction
57	/	selectElement#,	move
58	/	,#SUM	move
59	105	SUM#(	reduction
60	/	function#(	move
61	14	(#IDN	reduction
62	/	unionType#IDN	move
63	48	IDN#.	reduction
64	/	uid#.	move
65	/	.#IDN	move
66	48	IDN#)	reduction
67	52	uid#)	reduction
68	50	dottedIdOrStar#)	reduction
69	49	dottedId#)	reduction
70	/	fullColumnName#)	move
71	101	)#FROM	reduction
72	100	aggregateWindowedFunction#FROM	reduction
73	35	functionCall#FROM	reduction
74	32	elementNameAlias#FROM	reduction
75	30	selectElement#FROM	reduction
76	29	selectElementListRec#FROM	reduction
77	29	selectElementListRec#FROM	reduction
78	29	selectElementListRec#FROM	reduction
79	26	selectElementListRec#FROM	reduction
80	/	selectElements#FROM	move
81	/	FROM#IDN	move
82	48	IDN#WHERE	reduction
83	44	uid#WHERE	reduction
84	35	tableName#WHERE	reduction
85	42	elementNameAlias#WHERE	reduction
86	41	tableSourceItem#WHERE	reduction
87	39	joinParts#WHERE	reduction
88	38	tableSource#WHERE	reduction
89	36	tableSourceListRec#WHERE	reduction
90	/	tableSources#WHERE	move
91	/	WHERE#IDN	move
92	48	IDN#.	reduction
93	/	uid#.	move
94	/	.#IDN	move
95	48	IDN#!=	reduction
96	52	uid#!=	reduction
97	50	dottedIdOrStar#!=	reduction
98	49	dottedId#!=	reduction
99	76	fullColumnName#!=	reduction
100	/	expressionAtom#!=	move
101	90	!=#FLOAT	reduction
102	/	comparisonOperator#FLOAT	move
103	83	FLOAT#OR	reduction
104	80	decimalLiteral#OR	reduction
105	75	constant#OR	reduction
106	74	expressionAtom#OR	reduction
