1	/	##SELECT	move
2	14	SELECT#IDN	reduction
3	/	unionType#IDN	move
4	48	IDN#,	reduction
5	51	uid#,	reduction
6	49	dottedId#,	reduction
7	35	fullColumnName#,	reduction
8	31	elementNameAlias#,	reduction
9	28	selectElement#,	reduction
10	/	selectElementHead#,	move
11	/	,#SUM	move
12	105	SUM#(	reduction
13	/	function#(	move
14	14	(#IDN	reduction
15	/	unionType#IDN	move
16	48	IDN#)	reduction
17	51	uid#)	reduction
18	49	dottedId#)	reduction
19	/	fullColumnName#)	move
20	101	)#FROM	reduction
21	100	aggregateWindowedFunction#FROM	reduction
22	35	functionCall#FROM	reduction
23	32	elementNameAlias#FROM	reduction
24	30	selectElement#FROM	reduction
25	29	selectElementListRec#FROM	reduction
26	26	selectElementListRec#FROM	reduction
27	/	selectElements#FROM	move
28	/	FROM#IDN	move
29	48	IDN#GROUP BY	reduction
30	44	uid#GROUP BY	reduction
31	35	tableName#GROUP BY	reduction
32	42	elementNameAlias#GROUP BY	reduction
33	41	tableSourceItem#GROUP BY	reduction
34	39	joinParts#GROUP BY	reduction
35	38	tableSource#GROUP BY	reduction
36	36	tableSourceListRec#GROUP BY	reduction
37	133	tableSources#GROUP BY	reduction
38	18	whereExpression#GROUP BY	reduction
39	/	fromClause#GROUP BY	move
40	/	GROUP BY#IDN	move
41	48	IDN##	reduction
42	51	uid##	reduction
43	49	dottedId##	reduction
44	76	fullColumnName##	reduction
45	74	expressionAtom##	reduction
46	72	predicateRight##	reduction
47	61	predicate##	reduction
48	58	expressionRight##	reduction
49	56	expression##	reduction
50	54	expressionRec##	reduction
51	20	expressions##	reduction
52	23	groupByClause##	reduction
53	25	havingClause##	reduction
54	17	orderByClause##	reduction
55	15	selectClause##	reduction
56	8	querySpecification##	reduction
57	6	unionStatements##	reduction
58	2	selectStatement##	reduction
59	1	dmlStatement##	reduction
60	/	root##	accept
