1	/	##INSERT	move
2	/	INSERT#INTO	move
3	116	INTO#IDN	reduction
4	115	into#IDN	reduction
5	/	insertKeyword#IDN	move
6	48	IDN#(	reduction
7	44	uid#(	reduction
8	/	tableName#(	move
9	/	(#IDN	move
10	48	IDN#,	reduction
11	/	uid#,	move
12	/	,#IDN	move
13	48	IDN#,	reduction
14	/	uid#,	move
15	/	,#IDN	move
16	48	IDN#)	reduction
17	47	uid#)	reduction
18	46	uidListRec#)	reduction
19	46	uidListRec#)	reduction
20	45	uidListRec#)	reduction
21	/	uidList#)	move
22	/	)#VALUES	move
23	119	VALUES#(	reduction
24	/	insertFormat#(	move
25	/	(#STRING	move
26	97	STRING#,	reduction
27	79	stringLiteral#,	reduction
28	75	constant#,	reduction
29	74	expressionAtom#,	reduction
30	72	predicateRight#,	reduction
31	61	predicate#,	reduction
32	58	expressionRight#,	reduction
33	127	expression#,	reduction
34	/	expressionOrDefault#,	move
35	/	,#INT	move
36	84	INT#,	reduction
37	80	decimalLiteral#,	reduction
38	75	constant#,	reduction
39	74	expressionAtom#,	reduction
40	72	predicateRight#,	reduction
41	61	predicate#,	reduction
42	58	expressionRight#,	reduction
43	127	expression#,	reduction
44	/	expressionOrDefault#,	move
45	/	,#-	move
46	/	-#FLOAT	move
47	83	FLOAT#)	reduction
48	81	decimalLiteral#)	reduction
49	75	constant#)	reduction
50	74	expressionAtom#)	reduction
51	72	predicateRight#)	reduction
52	61	predicate#)	reduction
53	58	expressionRight#)	reduction
54	127	expression#)	reduction
55	126	expressionOrDefault#)	reduction
56	125	expressionOrDefaultListRec#)	reduction
57	125	expressionOrDefaultListRec#)	reduction
58	123	expressionOrDefaultListRec#)	reduction
59	/	expressionsWithDefaults#)	move
60	122	)##	reduction
61	118	expressionsWithDefaultsListRec##	reduction
62	114	insertStatementValue##	reduction
63	112	insertStatementRight##	reduction
64	3	insertStatement##	reduction
65	1	dmlStatement##	reduction
66	/	root##	accept
