1	/	##INSERT	move
2	/	INSERT#INTO	move
3	116	INTO#IDN	reduction
4	115	into#IDN	reduction
5	/	insertKeyword#IDN	move
6	48	IDN#VALUES	reduction
7	44	uid#VALUES	reduction
8	/	tableName#VALUES	move
9	119	VALUES#(	reduction
10	/	insertFormat#(	move
11	/	(#STRING	move
12	97	STRING#,	reduction
13	79	stringLiteral#,	reduction
14	75	constant#,	reduction
15	74	expressionAtom#,	reduction
16	72	predicateRight#,	reduction
17	61	predicate#,	reduction
18	58	expressionRight#,	reduction
19	127	expression#,	reduction
20	/	expressionOrDefault#,	move
21	/	,#FLOAT	move
22	83	FLOAT#,	reduction
23	80	decimalLiteral#,	reduction
24	75	constant#,	reduction
25	74	expressionAtom#,	reduction
26	72	predicateRight#,	reduction
27	61	predicate#,	reduction
28	58	expressionRight#,	reduction
29	127	expression#,	reduction
30	/	expressionOrDefault#,	move
31	/	,#DEFAULT	move
32	128	DEFAULT#,	reduction
33	/	expressionOrDefault#,	move
34	/	,#INT	move
35	84	INT#,	reduction
36	80	decimalLiteral#,	reduction
37	75	constant#,	reduction
38	74	expressionAtom#,	reduction
39	72	predicateRight#,	reduction
40	61	predicate#,	reduction
41	58	expressionRight#,	reduction
42	127	expression#,	reduction
43	/	expressionOrDefault#,	move
44	/	,#DEFAULT	move
45	128	DEFAULT#)	reduction
46	126	expressionOrDefault#)	reduction
47	125	expressionOrDefaultListRec#)	reduction
48	125	expressionOrDefaultListRec#)	reduction
49	125	expressionOrDefaultListRec#)	reduction
50	125	expressionOrDefaultListRec#)	reduction
51	123	expressionOrDefaultListRec#)	reduction
52	/	expressionsWithDefaults#)	move
53	122	)##	reduction
54	118	expressionsWithDefaultsListRec##	reduction
55	113	insertStatementValue##	reduction
56	112	insertStatementRight##	reduction
57	3	insertStatement##	reduction
58	1	dmlStatement##	reduction
59	/	root##	accept
