1	/	##SELECT	move
2	14	SELECT#*	reduction
3	/	unionType#*	move
4	27	*#FROM	reduction
5	30	selectElementHead#FROM	reduction
6	26	selectElementListRec#FROM	reduction
7	/	selectElements#FROM	move
8	/	FROM#IDN	move
9	48	IDN#ORDER BY	reduction
10	44	uid#ORDER BY	reduction
11	35	tableName#ORDER BY	reduction
12	42	elementNameAlias#ORDER BY	reduction
13	41	tableSourceItem#ORDER BY	reduction
14	39	joinParts#ORDER BY	reduction
15	38	tableSource#ORDER BY	reduction
16	36	tableSourceListRec#ORDER BY	reduction
17	133	tableSources#ORDER BY	reduction
18	18	whereExpression#ORDER BY	reduction
19	21	fromClause#ORDER BY	reduction
20	23	groupByClause#ORDER BY	reduction
21	/	havingClause#ORDER BY	move
22	/	ORDER BY#IDN	move
23	48	IDN#.	reduction
24	/	uid#.	move
25	/	.#IDN	move
26	48	IDN#,	reduction
27	52	uid#,	reduction
28	50	dottedIdOrStar#,	reduction
29	49	dottedId#,	reduction
30	76	fullColumnName#,	reduction
31	74	expressionAtom#,	reduction
32	72	predicateRight#,	reduction
33	61	predicate#,	reduction
34	58	expressionRight#,	reduction
35	/	expression#,	move
36	/	,#IDN	move
37	48	IDN##	reduction
38	51	uid##	reduction
39	49	dottedId##	reduction
40	76	fullColumnName##	reduction
41	74	expressionAtom##	reduction
42	72	predicateRight##	reduction
43	61	predicate##	reduction
44	58	expressionRight##	reduction
45	56	expression##	reduction
46	55	expressionRec##	reduction
47	54	expressionRec##	reduction
48	24	expressions##	reduction
49	17	orderByClause##	reduction
50	15	selectClause##	reduction
51	8	querySpecification##	reduction
52	6	unionStatements##	reduction
53	2	selectStatement##	reduction
54	1	dmlStatement##	reduction
55	/	root##	accept
