1	/	##SELECT	move
2	14	SELECT#IDN	reduction
3	/	unionType#IDN	move
4	48	IDN#.	reduction
5	/	uid#.	move
6	/	.#IDN	move
7	48	IDN#,	reduction
8	52	uid#,	reduction
9	50	dottedIdOrStar#,	reduction
10	49	dottedId#,	reduction
11	35	fullColumnName#,	reduction
12	31	elementNameAlias#,	reduction
13	28	selectElement#,	reduction
14	/	selectElementHead#,	move
15	/	,#IDN	move
16	48	IDN#.	reduction
17	/	uid#.	move
18	/	.#IDN	move
19	48	IDN#,	reduction
20	52	uid#,	reduction
21	50	dottedIdOrStar#,	reduction
22	49	dottedId#,	reduction
23	35	fullColumnName#,	reduction
24	31	elementNameAlias#,	reduction
25	/	selectElement#,	move
26	/	,#IDN	move
27	48	IDN#.	reduction
28	/	uid#.	move
29	/	.#IDN	move
30	48	IDN#,	reduction
31	52	uid#,	reduction
32	50	dottedIdOrStar#,	reduction
33	49	dottedId#,	reduction
34	35	fullColumnName#,	reduction
35	31	elementNameAlias#,	reduction
36	/	selectElement#,	move
37	/	,#IDN	move
38	48	IDN#.	reduction
39	/	uid#.	move
40	/	.#IDN	move
41	48	IDN#FROM	reduction
42	52	uid#FROM	reduction
43	50	dottedIdOrStar#FROM	reduction
44	49	dottedId#FROM	reduction
45	35	fullColumnName#FROM	reduction
46	31	elementNameAlias#FROM	reduction
47	30	selectElement#FROM	reduction
48	29	selectElementListRec#FROM	reduction
49	29	selectElementListRec#FROM	reduction
50	29	selectElementListRec#FROM	reduction
51	26	selectElementListRec#FROM	reduction
52	/	selectElements#FROM	move
53	/	FROM#IDN	move
54	48	IDN#GROUP BY	reduction
55	44	uid#GROUP BY	reduction
56	35	tableName#GROUP BY	reduction
57	42	elementNameAlias#GROUP BY	reduction
58	41	tableSourceItem#GROUP BY	reduction
59	39	joinParts#GROUP BY	reduction
60	38	tableSource#GROUP BY	reduction
61	36	tableSourceListRec#GROUP BY	reduction
62	133	tableSources#GROUP BY	reduction
63	18	whereExpression#GROUP BY	reduction
64	/	fromClause#GROUP BY	move
65	/	GROUP BY#IDN	move
66	48	IDN#.	reduction
67	/	uid#.	move
68	/	.#IDN	move
69	48	IDN#ORDER BY	reduction
70	52	uid#ORDER BY	reduction
71	50	dottedIdOrStar#ORDER BY	reduction
72	49	dottedId#ORDER BY	reduction
73	76	fullColumnName#ORDER BY	reduction
74	74	expressionAtom#ORDER BY	reduction
75	72	predicateRight#ORDER BY	reduction
76	61	predicate#ORDER BY	reduction
77	58	expressionRight#ORDER BY	reduction
78	56	expression#ORDER BY	reduction
79	54	expressionRec#ORDER BY	reduction
80	20	expressions#ORDER BY	reduction
81	23	groupByClause#ORDER BY	reduction
82	/	havingClause#ORDER BY	move
83	/	ORDER BY#IDN	move
84	48	IDN#.	reduction
85	/	uid#.	move
86	/	.#IDN	move
87	48	IDN##	reduction
88	52	uid##	reduction
89	50	dottedIdOrStar##	reduction
90	49	dottedId##	reduction
91	76	fullColumnName##	reduction
92	74	expressionAtom##	reduction
93	72	predicateRight##	reduction
94	61	predicate##	reduction
95	58	expressionRight##	reduction
96	56	expression##	reduction
97	54	expressionRec##	reduction
98	24	expressions##	reduction
99	17	orderByClause##	reduction
100	15	selectClause##	reduction
101	8	querySpecification##	reduction
102	6	unionStatements##	reduction
103	2	selectStatement##	reduction
104	1	dmlStatement##	reduction
105	/	root##	accept
